play|guitar,678
play|violin,549
music|one,399
song|http,331
sing|song,324
music|best,257
guitar|solo,243
music|gt,226
song|song,218
music|video,204
sing|sing,192
music|http,192
play|the,185
piano|music,176
piano|cover,173
guitar|http,155
violin|http,153
music|radio,152
sing|along,151
piano|http,140
song|sing,136
guitar|hero,132
sing|http,131
orchestra|the,128
play|song,123
piano|teacher,122
sing|play,120
sing|like,119
piano|man,118
music|game,114
guitar|lesson,104
play|like,103
violin|cover,102
piano|play,101
violin|music,100
violin|play,99
song|play,98
song|is,95
guitar|guitar,95
sing|danc,94
music|np,93
orchestra|play,92
piano|version,92
violin|concerto,90
song|like,90
piano|lesson,89
song|ever,88
play|music,88
guitar|play,87
guitar|pick,87
song|make,86
song|love,85
music|play,82
guitar|player,81
sing|love,79
piano|piano,78
orchestra|orchestra,78
orchestra|http,77
orchestra|concert,75
orchestra|perform,73
play|electr,69
jazz|orchestra,69
piano|violin,69
song|call,68
song|good,67
music|orchestra,67
piano|concerto,67
piano|amp,66
song|piano,66
song|realli,65
violin|piano,63
play|http,61
song|the,61
song|come,60
music|check,59
music|produc,58
music|magazi,58
violin|violin,57
play|instrument,54
music|fr,54
song|new,54
song|listen,53
piano|player,53
music|new,53
music|music,53
guitar|cover,52
orchestra|love,51
music|the,50
guitar|riff,50
music|releas,50
song|go,49
guitar|piano,49
song|music,48
piano|like,48
music|aritst,48
piano|guitar,47
violin|amp,46
play|th,46
piano|white,46
song|fuck,45
sing|the,45
piano|the,45
song|lyric,45
song|it,45
sing|it,45
song|beauti,44
song|one,44
song|hit,44
piano|after,44
orchestra|must,43
guitar|amp,43
play|world,43
jazz|piano,42
song|much,42
song|cute,41
sing|live,41
song|would,40
song|stuck,40
piano|worship,40
play|love,40
piano|piec,40
music|electr,40
guitar|gentli,40
song|amaz,39
guitar|string,39
song|alway,39
song|got,39
sing|everi,39
music|festiv,39
sing|us,38
music|instrument,38
piano|day,38
piano|bar,38
orchestra|breathin,38
guitar|center,38
violin|string,38
song|nowplay,38
orchestra|for,38
violin|player,37
song|get,37
song|drop,37
